reference,hypothesis,wer,wacc,plausibility,norm_plausibility,hallucination_like,hallucination_wacc_threshold,hallucination_plausibility_threshold,2gram_reps,3gram_reps,4gram_reps,config,config_family,noise_pct,perturbation,perturb_family,perturb_amplitude,perturb_duration,perturb_label
what did it mean,what did it mean,0.0,1.0,0.0189,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
at the hospital i met a very nice nurse,at the hospital i met a very nice nurse,0.0,1.0,0.0058,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he received his ph,he received his ph,0.0,1.0,0.0011,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
in this phase the party was based in eastern norway,in this phase the party was based in eastern norway,0.0,1.0,0.0027,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the cornices of the room were mostly intact but showed signs of damage from damp,the cornices of the room were mostly intact but showed signs of damage from damage,0.0667,0.9333,0.0108,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
karina smirnoff of dancing with the stars hosted the following month,karina smurnov of dancing with the stars hosted the following month,0.0909,0.9091,0.0007,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
in the united states federal vehicle fleets refers to the federal government s vehicles,in the united states federal vehicle fleets refer to the federal government s vehicles,0.0714,0.9286,0.0031,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the land was ruined and i had to find some other way to earn a living,the land was ruined but i had to find some other way to earn money,0.1875,0.8125,0.0182,0.6909,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
i wondered if those birds were redwings,i wondered if those birds were red wings,0.2857,0.7143,0.0019,0.9911,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he ended up running to the bars which fortified the windows of the first floor,he ended up running to the bars which fortified the windows of the first floor,0.0,1.0,0.0084,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
you should see the other guy specifically how good at fighting he is,you should see the other guy specifically how good at fighting he is,0.0,1.0,0.0073,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
lorenz is listed as a swiss heritage site of national significance,lorenz is listed as a swiss heritage site of national significance,0.0,1.0,0.0067,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
before entering politics karygiannis was a businessman and industrial engineer,before entering politics carrie jainese was a businessman and industrial engineer,0.2,0.8,0.001,0.5034,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
at dusk the greek western flank was broken,at dusk the greek western flank was broken,0.0,1.0,0.0007,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the wind told me that you know about love the boy said to the sun,the wind told me that you know about love the boy said to the sun,0.0,1.0,0.0047,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the collection of vehicles is listed below,the collection of vehicles is listed below,0.0,1.0,0.0063,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he took the fourth part and handed it to the monk,he took the first cup and handed it to the monk,0.1818,0.8182,0.0149,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
cador is also said to be of roman stock,cadur is also said to be of roman stock,0.1111,0.8889,0.0088,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the owner of the dwelling was not amused,the owner of the dwelling was not amused,0.0,1.0,0.009,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
thai dancers happily going through their steps in unison,by dancers happily going through their steps in unison,0.1111,0.8889,0.0023,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
music is usually provided by michael martin murphey and his band,music is usually provided by michael martin murphy and his band,0.0909,0.9091,0.0116,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
michael jackson began his career as part of the jackson five,michael jackson began his career as part of the jackson five,0.0,1.0,0.0064,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
more discussion is needed on how it will be financed,more discussion is needed on how it will be financed,0.0,1.0,0.0162,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
priestesses are said to have preceded priests in some egyptian cities,priestesses are said to have preceded priests in some egyptian cities,0.0,1.0,0.0103,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the boy was also saddened his friend was in pursuit of his destiny,the boy was also saddened his friend was in pursuit of his destiny,0.0,1.0,0.0059,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
men play football as a crowd watches,men play football as the crowd watches,0.1429,0.8571,0.0031,0.8905,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the election was notable for several firsts,the election was notable for several firsts,0.0,1.0,0.0072,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
a song a girl a maid,a song about a mate,0.5,0.5,0.002,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
local branches throughout slovakia were primarily engaged in public education and cultural activities,local branches throughout slovakia were primarily engaged in public education and cultural activities,0.0,1.0,0.0055,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
its major industry has been slate mining,the major industry has been slate mining,0.1429,0.8571,0.0008,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
slipways and harbour improvements were also constructed,sleepways and harbour improvements were also constructed,0.1429,0.8571,0.0012,0.8476,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
that application was rejected,their application was rejected,0.25,0.75,0.0093,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
we are giving them no rest,we are giving them no rest,0.0,1.0,0.0079,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
this argument is ancient and musty and in respects an economic fallacy,this argument is ancient and must be and in respects on economic policy,0.3333,0.6667,0.0016,0.8527,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the village s topography is mostly flat,the village s topography is mostly flat,0.0,1.0,0.0016,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
these original parts of the hospital are now administrative and social accommodation,these original parts of the hospital are now under administrative and social accommodation,0.0833,0.9167,0.0052,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the story takes the form of a monologue by asterion,the story takes the form of a monologue by asterion,0.0,1.0,0.0071,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
close all windows and logout,close all windows and log out,0.4,0.6,0.0055,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
no one has ever done it before,no one has ever done it before,0.0,1.0,0.0643,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
maybe the church with the sycamore growing from within had been haunted,maybe the church with the sycamore growing from within had been haunted,0.0,1.0,0.0059,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the album was well received by several critics,the album was well received by several critics,0.0,1.0,0.014,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
there are three amino acid residues responsible for this g to m phase transition,there are three amino acid residues responsible for this g to m phase transition,0.0,1.0,0.0044,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
i ll go right after it,i ll go right after it,0.0,1.0,0.0014,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the jowls of males are pink and the scales around the eyes are blue,the jowls of males are pink and the scales around the eyes are blue,0.0,1.0,0.014,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
an awesome picture of a young woman jumping in the air,an awesome picture of a young woman jumping in the air,0.0,1.0,0.0137,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
some concurrent programming models include coprocesses and deterministic concurrency,some concurrent programming models include code processes in deterministic concurrency,0.3333,0.6667,0.0021,0.2468,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
five,fine,1.0,0.0,0.0,0.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
unfortunately there s not enough of that to be found in this game,unfortunately there s not enough of that to be found in this game,0.0,1.0,0.0104,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
her mom took her to the judo class at four o clock,remember the combination is work,0.9167,0.0833,0.0017,0.2696,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he grew up in cedarhurst new york,he grew up in cedarhurst new york,0.0,1.0,0.0035,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
however he never fully recovered from his wounds and died relatively early,however he never fully recovered from the present and died relatively early,0.1667,0.8333,0.005,0.4535,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
arizona republican state senator karen johnson joined the protest in support,arizona republican state senator karen johnson joined a protest in support,0.0909,0.9091,0.0023,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
like an old fire horse,like an old furry horse,0.2,0.8,0.0012,0.8295,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
originally the finale for the sixth season was promoted as a cliff hanger,originally the finale for the sixth season was promoted as a cliffhanger,0.1538,0.8462,0.0135,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
at these dimensions it is large enough to be seen from space,at these dimensions it is large enough to be seen from space,0.0,1.0,0.0178,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
finally the beatles began playing at the jac on occasions,finally the beatles began playing at the jack on occasions,0.1,0.9,0.0014,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
within those constraints there still exists some ambiguity,within those constraints there still exists some ambiguity,0.0,1.0,0.005,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he was unable to get ice in nearby niort,he was unable to get ice in nearby njord,0.1111,0.8889,0.0029,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
loggers fishermen and ranchers incorporated it in their jargon,loggers fishermen and ranchers incorporated it in their jargon,0.0,1.0,0.0014,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
it included a new production of passion directed by jamie lloyd,it included a new production of passion directed by jaime lloyd,0.0909,0.9091,0.0016,0.7658,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
after mumbai it also break all records of bhojpuri box office in bihar,after mumbai s answer bengal records a virtually million box ups in india,0.6923,0.3077,0.0008,0.2008,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
norfolk island is the only non mainland australian territory to have had self governance,norfolk island is the only non mainland australian territory to have had self governance,0.0,1.0,0.0047,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
good playgrounds have much more to offer than swings and slides,good playgrounds have much more to offer than streams and slides,0.0909,0.9091,0.0081,0.6975,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the beer was more than just refreshing it was delicious,the beer was more than just refreshing it was delicious,0.0,1.0,0.0094,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
production on the film was completed by the end of march,you,1.0,0.0,0.0,0.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
no change is permissible in regard to festivals and dates,no change is permissible in regards to festivals and dates,0.1,0.9,0.0043,0.9092,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
also at allen park is the relocated tom collins house,also with allen park is the relocated tom hollins house,0.2,0.8,0.0015,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
during his college days he continued his political work with kerala students union,during his college days he continued his political work with kerala students union,0.0,1.0,0.0053,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
i accuse this man of being a faker,i accused this man of being a faker,0.125,0.875,0.017,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
they can also be sliced and dried to prepare a flour,they can also be sliced and dried to prepare the flour,0.0909,0.9091,0.0119,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
i think that comes across when you listen to it,i think that comes across when you listen to it,0.0,1.0,0.0201,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the town s school system is united with neighboring warren rhode island,the town s school system is united with neighbouring warren rulde island,0.1667,0.8333,0.0005,0.6412,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
you might hear font families more than typefaces even though they could mean the same thing,you might hear five families more than typefaces even though they mean the same thing,0.125,0.875,0.0056,0.7061,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
his mother was of part german descent,his mother was of part german descent,0.0,1.0,0.0019,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
charly was now alone,charlie was now alone,0.25,0.75,0.0031,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
team event was cancelled,team event was cancelled,0.0,1.0,0.0031,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
it s not one of those complicated things,see the item query visible,1.0,0.0,0.0002,0.0576,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the dutch and the french were the first jute traders,the dutch and the french were the first due traders,0.1,0.9,0.0027,0.4099,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
further there is no mention of the comet in chinese literature of the time,further there is no mention of the comet in chinese literature of the time,0.0,1.0,0.0112,1.0,0,0.875,0.8782,1,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
visitors can interact with these communities to learn about their culture and lifestyle,visitors can interact with these communities to learn about their culture and lifestyle,0.0,1.0,0.0226,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
acceleration of time,acceleration of time,0.0,1.0,0.0064,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
getting to play someone as unrestricted as a vampire is a thrill she says,getting to play someone as unrestricted as a vampire is a thrill she says,0.0,1.0,0.003,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
unlike most armadillos they are not fossorial but will use abandoned giant anteater burrows,unlike most armadillos they are not fossorial but will use abandoned giant anteater burrows,0.0,1.0,0.0067,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
at the boundary between gorton and audenshaw it continues as manchester road,at the boundary between gordon and ordonshoe it continues as manchester road,0.1667,0.8333,0.0006,0.6215,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he paused looked back at the house but then pocketed the keys opened the gate and strode down the path quickly,he paused looked back at the house but then pocketed the keys opened the gate and straightened down the path quickly,0.0476,0.9524,0.008,0.9602,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
lemme have the desk,let me have the desk,0.5,0.5,0.0017,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he fled but only got as far as greenwich before being captured,he fled but only got as far as greenwich before being captured,0.0,1.0,0.0063,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the old man said nothing,the old man said nothing,0.0,1.0,0.0062,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
remind me to send another email,remind me to send another email,0.0,1.0,0.0062,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the quick fox jumped on the sleeping cat,the quick fox jumped on the sleeping cat,0.0,1.0,0.0022,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
cooper lake is stoked is stocked annually with several species of trout fish,cooper lake is stoked annually with several species of trout fish,0.1538,0.8462,0.0011,0.9159,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
this swallow is twittering without internet connection and has a swarm of followers,this fellow is twittering without internet connection and has a swarm of followers,0.0769,0.9231,0.0057,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he played for the youth categories of real betis,he played for the youth categories of real bettys,0.1111,0.8889,0.0014,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
these expectations however never happened,these expectations however never happened,0.0,1.0,0.0003,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the oldest superstring theory containing open strings was type one string theory,the oldest stupas string theory contained open strings was taught one string theory,0.3333,0.6667,0.0005,0.4419,0,0.875,0.8782,1,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
modern brunost does not contain significant amounts of iron,efficiency,1.0,0.0,0.0,0.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
dicastillo is a village in navarra,de castillo is a village in novara,0.5,0.5,0.0028,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
wow look how deep this canyon is,wow look how deep this canyon is,0.0,1.0,0.0044,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the teesta river is one of the rivers that has changed over the years,the teste river is one of the rivers that has changed over the years,0.0714,0.9286,0.0149,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
two,two,0.0,1.0,0.0,0.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
a train line used to run up to hidaka along the saru river,a train line used to run up to hidaka along the saro river,0.0769,0.9231,0.0025,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
but they were not there,but they were not there,0.0,1.0,0.0185,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
no but it is nice to meet you,no but it is nice to meet you,0.0,1.0,0.0284,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
due to the expense of production it is not being used for this purpose,due to the expense of production it is not being used for this purpose,0.0,1.0,0.0323,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he was born at wichenford in worcestershire and educated at balliol college oxford,he was born at wichenford in worcestershire and educated at balliol college oxford,0.0,1.0,0.0034,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
philip then tells his parents that he was suspended for singing the national anthem,philip then tells his parents that he was suspended for singing the national anthem,0.0,1.0,0.0206,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the holyrood constituency is one of five covering the south lanarkshire council area,the hawley route constituency is one of five covering the south lanarkshire council area,0.1538,0.8462,0.0024,0.4492,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
mosjoukine was officially married three times,mozdukeen was officially married three times,0.1667,0.8333,0.0017,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the sea has lived on in this shell because that s its destiny,the sea has lived on in this shell because that s its destiny,0.0,1.0,0.002,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
but instead of being saddened he was happy,you,1.0,0.0,0.0,0.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he was his father s eldest son and the only child of his mother,he was his father s eldest son and the only child of his mother,0.0,1.0,0.0277,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he was arrested within days placed on trial and found guilty,he was arrested within days placed on trial and found guilty,0.0,1.0,0.01,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
apparently most of the sentences have been written by nerds and scientists,apparently most of these sentences have been written by nerds and scientists,0.0833,0.9167,0.0089,0.9747,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
no news is good news,no news is goodness,0.4,0.6,0.0003,0.0176,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
its capital is the city of padua,its capital is the city of padua,0.0,1.0,0.0036,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
although everything should be under the state s control there is a lot of violence in prisons,although everything should be under the state s control there is a lot of violence in prisons,0.0,1.0,0.009,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
that s the sub foreman explained thorpe,that some foremen explained thought be,0.8571,0.1429,0.0003,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
trample the spark else the flames will spread,crumple the spark else the flames will spread,0.125,0.875,0.0056,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
at the marriage of dionysus fourteen sacred women officiated at fourteen altars,at the marriage of dionysus fourteen sacred women officiated at fourteen altars,0.0,1.0,0.0035,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
well what of that,well what of that,0.0,1.0,0.0027,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
it was my fear of failure that first kept me from attempting the master work,it was my fear of failure that first kept me from attempting the masterwork,0.1333,0.8667,0.0165,1.0,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
they joined the band during the encore,they joined the band during ten core,0.2857,0.7143,0.0012,0.0808,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the building was later used as the brewery s offices,the building was later used as the brewery s offices,0.0,1.0,0.0044,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
did you know that harry got a new job,did you know that harry got a new job,0.0,1.0,0.0164,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the maiden enters in the ninth bar on an anacrusis,the maiden enters in the ninth bar on an inaccuracy,0.1,0.9,0.0013,0.999,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
from the interchange the expressway goes northeast and starts to parallel the chehalis river,from the interchange the expressway goes northeast and south to parallel the chihalis river,0.1429,0.8571,0.0025,0.6259,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
somebody threw him off a train,somebody threw him off a train,0.0,1.0,0.0049,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
machan argued against animal rights in his widely reprinted paper do animals have rights,machen argue against animal rights in his widely reprinted paper do animals have rights,0.1429,0.8571,0.0024,0.8981,1,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
the girl dropped the container and the water spilled,the girl dropped the container and the water spilled,0.0,1.0,0.0066,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
its design was one of the more unusual of contax s designs,its design was one of the more unusual of contax s designs,0.0,1.0,0.0036,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
there is no support for varying aspect ratios or force feedback controllers,there is no support for weighing aspect ratios or force feedback controllers,0.0833,0.9167,0.0037,0.8586,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
he is however usually addressed as lord stern or lord stern of brentford,he is however usually addressed as lord stern or lord stern of brentford,0.0,1.0,0.002,1.0,0,0.875,0.8782,1,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
doane became the third wife of fellow missionary rev,doyen became a photograph of fellow missionary reo,0.5556,0.4444,0.0007,0.6038,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
so you haven t heard about the bezier tool right,so you haven t heard about the bezier tool right,0.0,1.0,0.0022,1.0,0,0.875,0.8782,0,0,0,rr_64pct,rr,64,none,none,0.0,0.0,none
