hypothesis_norm	count	example_hypothesis	example_eval_config	example_perturbation	best_train_corpus	best_tfidf_similarity	best_similarity_class	best_train_text
mozdrukeen was officially married three times	5	mozdrukeen was officially married three times	base	onset_noise_amp0.05_dur0.5	clean	0.7722045304715561	strong_overlap	Young married three times.
macken argue against animal rights in his widely reprinted paper do animals have rights	5	macken argue against animal rights in his widely reprinted paper do animals have rights	base	onset_noise_amp0.05_dur0.5	clean	0.25553288933196416	novel_or_generic	Favoured lyrical concerns included animal rights, conformity and science fiction.
president nicholas maduro condemned the protest actions	5	president nicholas maduro condemned the protest actions	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.30998517683706117	novel_or_generic	No major opposition to the protest occurred.
the town s oldest secular building the old crown is there	5	the town s oldest secular building the old crown is there	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.23069729509259584	novel_or_generic	Taza National Park is there.
might others within your organization have some inklings as to their desire	5	might others within your organization have some inklings as to their desire	base	onset_noise_amp0.05_dur0.5	clean	0.796530021674927	strong_overlap	Might others within your organisation have some inkling as to their desires?
it gives strawberries so you would not like it	5	it gives strawberries so you would not like it	base	onset_noise_amp0.5_dur0.5	clean	0.2954377419962193	novel_or_generic	Like, 'It's over!
they could no longer support the mirror	5	they could no longer support the mirror	base	onset_noise_amp0.5_dur0.5	ru_64pct	0.5123375438746025	weak_overlap	They paused no longer.
she looks at us she is going to come too	5	she looks at us she is going to come too	base	onset_noise_amp0.75_dur0.5	ru_64pct	0.47419050827426124	weak_overlap	He is going to open it.
are the consequences more humanistic or anti humanistic	5	are the consequences more humanistic or anti humanistic	base	reverb_amp0.5_dur0.5	ru_64pct	0.3236746747602697	novel_or_generic	Adoption as a theological term introduces a relational dimension to the consequences of Salvation.
the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the	5	the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the	rr_64pct	full_noise_amp0.5_dur0.0	rr_64pct	0.5209595801317896	weak_overlap	The main bank is on the north-east side of the ditch.
i guess it s a neverending story	5	i guess it s a neverending story	rr_64pct	none	ru_64pct	0.6242572209980571	weak_overlap	It's cool-I guess.
municin means near the island	5	municin means near the island	rr_64pct	none	ru_64pct	0.4493525406663821	novel_or_generic	"The autonym means ""villager""."
he is currently a member of investment bank jaffrey s global senior advisory board	5	he is currently a member of investment bank jaffrey s global senior advisory board	rr_64pct	none	ru_64pct	0.4967817096573144	weak_overlap	Mitchell is currently a member of the InterAction Council.
originally the finale for the sixth season was promoted as a cliffhanger	5	originally the finale for the sixth season was promoted as a cliffhanger	rr_64pct	none	clean	0.347450272478643	novel_or_generic	For the sixth season, Margaret Cho and NeNe Leakes joined the panel.
have you met kathryn	5	have you met kathryn	rr_64pct	none	clean	0.5566844356891225	weak_overlap	Have you a study?
de castillo is a village in novara	5	de castillo is a village in novara	rr_64pct	none	clean	0.5473141795712668	weak_overlap	Salvador Do Mundo is a village in Goa.
millen was primarily a second baseman	5	millen was primarily a second baseman	rr_64pct	none	ru_64pct	0.3364849568855791	novel_or_generic	Their music was primarily released on Southern Records.
this argument is ancient and must be in respect of economic policy	5	this argument is ancient and must be in respect of economic policy	rr_64pct	onset_noise_amp0.05_dur0.5	ru_64pct	0.29908396320118413	novel_or_generic	Tyagi and Haq are among the wounded and must be carried out.
the city is home to the city of canada and the city of canada is home to the city of canada	4	the city is home to the city of canada and the city of canada is home to the city of canada	base	full_noise_amp0.5_dur0.0	clean	0.46990818681420543	weak_overlap	The city is home to the Pine Bluff Arsenal.
lion rock is located northwest of wong tai singh	4	lion rock is located northwest of wong tai singh	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.5186900963743092	weak_overlap	The district centre is Arghandab, located northwest of Kandahar.
women formed less than half of the group	4	women formed less than half of the group	base	onset_noise_amp0.05_dur0.5	clean	0.5469051365565012	weak_overlap	Less than half of the sphere can be projected onto a finite map.
this argument is ancient and must end in respects of economic policy	4	this argument is ancient and must end in respects of economic policy	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.25171611609795885	novel_or_generic	The argument is subjective and might be considered specious.
the amino ablation property has a large number of correlation formulations	4	the amino ablation property has a large number of correlation formulations	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.48734626001527226	weak_overlap	French Guiana also has a large number of Protestants.
crumple the spark else the flames will spread	4	crumple the spark else the flames will spread	base	onset_noise_amp0.05_dur0.5	clean	0.41289299998540996	novel_or_generic	The flames ignited the building and spread.
administratively they belong to sarah	4	administratively they belong to sarah	base	onset_noise_amp0.05_dur0.5	clean	0.5604675319409788	weak_overlap	A few belong to Sikh community.
i m sure there is no doubt on this	4	i m sure there is no doubt on this	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.5405365252468665	weak_overlap	There is no issue.
the type and only species is cirrhoseps pachuchet	4	the type and only species is cirrhoseps pachuchet	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.4142227113253648	novel_or_generic	Young Woolwich is the type and model of a young drummer.
return to the common the sun was setting	4	return to the common the sun was setting	base	onset_noise_amp0.5_dur0.5	ru_64pct	0.3420403590889145	novel_or_generic	After breaking the Banni, these karagas return to the temples.
the city of canada is the largest city in the world	4	the city of canada is the largest city in the world	base	reverb_amp0.5_dur0.5	ru_64pct	0.674248495727903	strong_overlap	Kuopio is the largest city in the region.
pindari river later joins laknanda river at karnapriyag	4	pindari river later joins laknanda river at karnapriyag	base	reverb_amp0.5_dur0.5	ru_64pct	0.49813993763030573	weak_overlap	Licking Creek joins the Clarion River at Callensburg.
this is something i want in paris	4	this is something i want in paris	base	reverb_amp0.5_dur0.5	clean	0.5107603980668817	weak_overlap	This is something we've never had before.
the castillo is a village in navarra	4	the castillo is a village in navarra	base	reverb_amp0.8_dur0.5	clean	0.5776149489791789	weak_overlap	Salvador Do Mundo is a village in Goa.
it just seemed so safe and true	4	it just seemed so safe and true	base	reverb_amp0.8_dur0.5	rr_64pct	0.6005845169929809	weak_overlap	It's just 'It'.
an important person in the life of emilio claus was the painter jimmy montagny	4	an important person in the life of emilio claus was the painter jimmy montagny	rr_64pct	none	rr_64pct	0.40370272502109206	novel_or_generic	An important person in the history of Grayling is Rasmus Hanson.
ross is still generally married and he has no descendants	4	ross is still generally married and he has no descendants	rr_64pct	none	ru_64pct	0.5061605423245947	weak_overlap	He has no education.
abbas was considered a leading writer of the early short story	4	abbas was considered a leading writer of the early short story	rr_64pct	none	ru_64pct	0.3577918600352934	novel_or_generic	It is Grahame's most famous short story.
it s not dilang	4	it s not dilang	rr_64pct	none	clean	0.6767112467224828	strong_overlap	It's not routine practice.
black man life of chess	4	black man life of chess	rr_64pct	none	clean	0.5795034631750184	weak_overlap	And a black man!
we get to walk up to the tower	4	we get to walk up to the tower	rr_64pct	none	clean	0.40756500655717287	novel_or_generic	"He would walk up to ball and ""just do it""."
the area around megalisterna consists mostly of agricultural land	4	the area around megalisterna consists mostly of agricultural land	rr_64pct	none	ru_64pct	0.45699341921009096	weak_overlap	It consists mostly of covers of other musicians' songs.
the town was named after the spanish town for lumbar	4	the town was named after the spanish town for lumbar	rr_64pct	none	ru_64pct	0.6636877314496057	strong_overlap	The town was named after Benjamin Waite, a lumberman.
he is however usually addressed as lord stern or lord stern of brentford	4	he is however usually addressed as lord stern or lord stern of brentford	rr_64pct	none	clean	0.31752489814094287	novel_or_generic	He is generally addressed as Father General.
will schools secondary schools giving a general medical education	4	will schools secondary schools giving a general medical education	rr_64pct	none	rr_64pct	0.3716318922967271	novel_or_generic	There are also ten secondary schools and seventeen pre-school institutions.
william howard was born at hinzburg wermend	4	william howard was born at hinzburg wermend	rr_64pct	none	ru_64pct	0.8099665554708695	strong_overlap	Fossombroni was born at Arezzo.
