eval_config	perturbation	best_train_corpus	n_hypotheses	mean_best_tfidf_similarity	median_best_tfidf_similarity	exact_or_template_copy	near_copy	strong_overlap	weak_overlap	novel_or_generic
ru_64pct	onset_noise_amp0.75_dur0.5	ru_64pct	66	0.40721924932009856	0.36541949017663744	0	1	2	16	47
base	reverb_amp0.5_dur0.5	clean	54	0.4481669088831658	0.4245619259019024	0	0	4	17	33
base	reverb_amp0.5_dur0.5	rr_64pct	21	0.41763471122216295	0.36943888446161244	0	0	1	5	15
base	reverb_amp0.5_dur0.5	ru_64pct	64	0.4202818786671223	0.4039348787792781	0	0	4	19	41
rr_64pct	reverb_amp0.5_dur0.5	clean	46	0.44392118231240496	0.38781905400337885	2	0	3	9	32
rr_64pct	reverb_amp0.5_dur0.5	rr_64pct	24	0.4333095677138831	0.3996769371197486	0	1	0	5	18
rr_64pct	reverb_amp0.5_dur0.5	ru_64pct	64	0.3939176614987874	0.3755954236637181	0	0	1	18	45
ru_64pct	reverb_amp0.5_dur0.5	clean	52	0.45922114135459596	0.438581594289284	1	0	5	18	28
ru_64pct	reverb_amp0.5_dur0.5	rr_64pct	20	0.4701813334358277	0.41734608145941865	0	0	2	6	12
ru_64pct	reverb_amp0.5_dur0.5	ru_64pct	81	0.4196051956852012	0.4142227113253648	0	0	5	23	53
base	reverb_amp0.8_dur0.5	clean	57	0.44286787130863753	0.43736487653940115	0	0	3	21	33
base	reverb_amp0.8_dur0.5	rr_64pct	25	0.44962010206071895	0.41785969009651824	0	0	1	9	15
base	reverb_amp0.8_dur0.5	ru_64pct	83	0.4100792656003803	0.4063916418870004	0	0	3	26	54
rr_64pct	reverb_amp0.8_dur0.5	clean	55	0.4506154493713595	0.4369262438002812	1	0	1	24	29
rr_64pct	reverb_amp0.8_dur0.5	rr_64pct	22	0.4158890862462257	0.3741344224460538	0	0	0	9	13
rr_64pct	reverb_amp0.8_dur0.5	ru_64pct	67	0.40004444370922027	0.39180823177761037	0	0	1	22	44
ru_64pct	reverb_amp0.8_dur0.5	clean	53	0.4189020481593365	0.40551870519653366	0	0	2	19	32
ru_64pct	reverb_amp0.8_dur0.5	rr_64pct	21	0.47086738870032424	0.42639865970114	0	0	2	7	12
ru_64pct	reverb_amp0.8_dur0.5	ru_64pct	74	0.4035725277029094	0.4038372969218293	0	0	1	18	55
