reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
my mother has type two diabetes	their first appearance was in the movie the big bang	1.6667	-0.6667	0.0122	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	12	my mother has type two diabetes	their first appearance was in the movie the big bang	10	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.34252200003489397	novel_or_generic	0.2	0.2222222222222222	49860	common_voice_en_19814482.mp3	25eca51ee4e1adb9b60a27407d4c521dc724131af684d0a067f1681dbfd82057	The Big One.
it was always so	what called it the state	1.25	-0.25	0.0042	0.4842	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	13	it was always so	what called it the state	11	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5050427106487264	weak_overlap	0.375	0.6	13419	common_voice_en_20635791.mp3	3e681a4ca08b1701b48f350fe088949a87188b22a1b3231fa3f9fb073ca54b74	Turner called it the Salmon River.
she has shown fine bindings in exhibitions throughout her career	the city is located in the southern part of the city of korea	1.3	-0.3	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	14	she has shown fine bindings in exhibitions throughout her career	the city is located in the southern part of the city of korea	12	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the sacramento valley rail station is just a short walk away	the city is located in the southern part of the city of korea	1.0909	-0.0909	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	15	the sacramento valley rail station is just a short walk away	the city is located in the southern part of the city of korea	13	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the drinking water supply comes from an intake pipe southwest of town	the city is located in the central part of the city center	0.9167	0.0833	0.0787	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	19	the drinking water supply comes from an intake pipe southwest of town	the city is located in the central part of the city center	14	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4795998415641072	weak_overlap	0.5	0.6666666666666666	48503	common_voice_en_21269504.mp3	4aea12b298e8500534defb41e843b2483c54cd3716da74bc3ec6db4925901401	It is in the central part of Bowie County.
does the sensor still have the same deficits when it comes to interoperability with other vendors	the city is located in the southern part of the city of korea	0.9375	0.0625	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	20	does the sensor still have the same deficits when it comes to interoperability with other vendors	the city is located in the southern part of the city of korea	15	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
it might be in this writer s top ten	their first two fights were in the middle of the night	1.1111	-0.1111	0.048	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	21	it might be in this writer s top ten	their first two fights were in the middle of the night	16	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.41870799730786334	novel_or_generic	0.2857142857142857	0.4	25503	common_voice_en_33151145.mp3	a6e430a615a45e7557cec9b30e3fb02142712fd12b892c90ebaf077554588342	The village of Edale lies in the middle of the valley.
mrs lewis was selected as the new commissioner	the city is located in the southern part of the city of korea	1.5	-0.5	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	22	mrs lewis was selected as the new commissioner	the city is located in the southern part of the city of korea	17	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
his family didn t even have money to perform the last rites after his death	the city is located in the central part of the city center of the city center	1.0	0.0	0.0754	1.0	0	-1.1674	0.919	3	2	1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	23	his family didn t even have money to perform the last rites after his death	the city is located in the central part of the city center of the city center	18	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.43514727389238006	novel_or_generic	0.3333333333333333	0.4444444444444444	92991	common_voice_en_22252808.mp3	5c242cb5407bf958e7459a2f25ff17794cb55152ec6c448dc0e2d367cb626dec	The school lies south of the city center.
the electrician looked puzzled	the city is located in the southern part of the city of korea	3.0	-2.0	0.0414	1.0	1	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	24	the electrician looked puzzled	the city is located in the southern part of the city of korea	19	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
i will tell her what we decided	the city is located in the central part of the city center of the city center	2.2857	-1.2857	0.0754	1.0	1	-1.1674	0.919	3	2	1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	25	i will tell her what we decided	the city is located in the central part of the city center of the city center	20	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.43514727389238006	novel_or_generic	0.3333333333333333	0.4444444444444444	92991	common_voice_en_22252808.mp3	5c242cb5407bf958e7459a2f25ff17794cb55152ec6c448dc0e2d367cb626dec	The school lies south of the city center.
enoxaparin belongs to the class of drugs known as low molecular weight heparins	the first time i saw him i was like oh my god what the hell is this	1.3077	-0.3077	0.0576	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	26	enoxaparin belongs to the class of drugs known as low molecular weight heparins	the first time i saw him i was like oh my god what the hell is this	21	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3683773810566717	novel_or_generic	0.15	0.2	61486	common_voice_en_29168148.mp3	bfd483d4ce53cb6c193e70eace85176bd1953f519d16de2491d30eebe5a8e034	Oh my God, how could he do that?
i guess it s a never ending story	the city is located in the southern part of the city of korea	1.625	-0.625	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	27	i guess it s a never ending story	the city is located in the southern part of the city of korea	22	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
good things come in small packages	the city is located in the southern part of the city of korea	2.0	-1.0	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	28	good things come in small packages	the city is located in the southern part of the city of korea	23	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
what should i say	the city is located in the southern part of the city of korea	3.25	-2.25	0.0414	1.0	1	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	29	what should i say	the city is located in the southern part of the city of korea	24	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
it is a member theater of the union of the theatres of europe	the city is located in the southern part of the city of korea	0.7692	0.2308	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	30	it is a member theater of the union of the theatres of europe	the city is located in the southern part of the city of korea	25	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
she graduated from the university of new brunswick	the city is located in the southern part of the city of korea	1.375	-0.375	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	31	she graduated from the university of new brunswick	the city is located in the southern part of the city of korea	26	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
watts was educated at haberdashers aske s hatcham girls school	their first film was the first film of the year and it was a success	1.4	-0.4	0.041	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	32	watts was educated at haberdashers aske s hatcham girls school	their first film was the first film of the year and it was a success	27	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5095515893992291	weak_overlap	0.23076923076923078	0.2727272727272727	7251	common_voice_en_32677284.mp3	8fc2ba9f73029997a31ee6322df0ca122d7d253b0fef3ec6ef0ce44eec503306	His first film was Rajasekaran.
cristiano ronaldo has won twenty four trophies in his career	it is a very unusual type of metal that is made of a metal plate	1.5	-0.5	0.0358	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	33	cristiano ronaldo has won twenty four trophies in his career	it is a very unusual type of metal that is made of a metal plate	28	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4190313226759479	novel_or_generic	0.2857142857142857	0.36363636363636365	95626	common_voice_en_20684421.mp3	3f402938f27a72675a8481f72167e77982a74d2fa360e91d2862911dda508ed4	They are very often made of metal.
what are you here for this morning	the city is located in the southern part of the city of korea	1.8571	-0.8571	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	34	what are you here for this morning	the city is located in the southern part of the city of korea	29	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
the song was produced by go grizz and smash david	the city is now a city of the city	0.9	0.1	0.0235	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	35	the song was produced by go grizz and smash david	the city is now a city of the city	30	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4571539727131262	weak_overlap	0.4444444444444444	0.6666666666666666	42425	common_voice_en_20838908.mp3	42f67d2f9bf74befb4d2ad3f4a3f0fa045e5852f895b89fdb79365623c37877a	The centre of the city is Giza Square.
she married her business partner steve lane	we know you just can t bring me back in again	1.5714	-0.5714	0.0047	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	38	she married her business partner steve lane	we know you just can t bring me back in again	31	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.36259089884326323	novel_or_generic	0.15384615384615385	0.18181818181818182	69051	common_voice_en_20081119.mp3	2f234e8bad532c8d230f1fff839b58947bb077d2a7e1240285c9213743873f82	How little we know!
that would be funny if he did	the city is located in the southern part of the city of korea	1.8571	-0.8571	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	41	that would be funny if he did	the city is located in the southern part of the city of korea	32	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
he was the eldest brother of katharine duchess of kent	the city was also the home of the city s first ever public school	1.2	-0.2	0.0126	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	42	he was the eldest brother of katharine duchess of kent	the city was also the home of the city s first ever public school	33	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.38795004888500584	novel_or_generic	0.3333333333333333	0.45454545454545453	80378	common_voice_en_25348030.mp3	90eac8e268ed3cfb6aed8657a5bd4b4f4f848a756a7104ac263a1e2b908cf36b	The city was also a continuing destination of immigrants.
the glow deepened in the eyes of the sweet girl	the city is located in the southern part of the city of korea	0.8	0.2	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	43	the glow deepened in the eyes of the sweet girl	the city is located in the southern part of the city of korea	34	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
although she had flowers and applause mavis said she was not content	the city is located in the southern part of the city of korea	1.0833	-0.0833	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	45	although she had flowers and applause mavis said she was not content	the city is located in the southern part of the city of korea	35	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
add the column and put the sum here	the city is located in the southern part of the city of korea	1.375	-0.375	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	46	add the column and put the sum here	the city is located in the southern part of the city of korea	36	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
hello benjamin	he was injured	1.5	-0.5	0.0049	1.0	0	-1.1674	0.919	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	47	hello benjamin	he was injured	37	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6156595868079572	weak_overlap	0.42857142857142855	1.0	54523	common_voice_en_36772195.mp3	cb43ba527ce00844df4ab6adc90a9bad6002e59eac299f3a20d6436f86774b69	But he was injured and played infrequently.
after playing tennis in virtual reality he felt dizzy	the city is located in the southern part of the city of korea	1.3333	-0.3333	0.0414	1.0	0	-1.1674	0.919	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	base	full_noise_amp0.5_dur0.0	48	after playing tennis in virtual reality he felt dizzy	the city is located in the southern part of the city of korea	38	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.6426051663988733	weak_overlap	0.6363636363636364	0.7777777777777778	19567	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	It is located in the southern part of the county.
