analysis_id	detail_file	detail_row	eval_config	perturbation	reference	hypothesis	wer	wacc	norm_plausibility	hallucination_like	2gram_reps	3gram_reps	4gram_reps	reference_norm	hypothesis_norm
25	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	30	base	full_noise_amp0.5_dur0.0	it is a member theater of the union of the theatres of europe	the city is located in the southern part of the city of korea	0.7692	0.2308	1.0	0	1	0	0	it is a member theater of the union of the theatres of europe	the city is located in the southern part of the city of korea
26	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	31	base	full_noise_amp0.5_dur0.0	she graduated from the university of new brunswick	the city is located in the southern part of the city of korea	1.375	-0.375	1.0	0	1	0	0	she graduated from the university of new brunswick	the city is located in the southern part of the city of korea
27	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	32	base	full_noise_amp0.5_dur0.0	watts was educated at haberdashers aske s hatcham girls school	their first film was the first film of the year and it was a success	1.4	-0.4	1.0	0	1	0	0	watts was educated at haberdashers aske s hatcham girls school	their first film was the first film of the year and it was a success
28	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	33	base	full_noise_amp0.5_dur0.0	cristiano ronaldo has won twenty four trophies in his career	it is a very unusual type of metal that is made of a metal plate	1.5	-0.5	1.0	0	0	0	0	cristiano ronaldo has won twenty four trophies in his career	it is a very unusual type of metal that is made of a metal plate
29	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	34	base	full_noise_amp0.5_dur0.0	what are you here for this morning	the city is located in the southern part of the city of korea	1.8571	-0.8571	1.0	0	1	0	0	what are you here for this morning	the city is located in the southern part of the city of korea
30	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	35	base	full_noise_amp0.5_dur0.0	the song was produced by go grizz and smash david	the city is now a city of the city	0.9	0.1	1.0	0	1	0	0	the song was produced by go grizz and smash david	the city is now a city of the city
31	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	38	base	full_noise_amp0.5_dur0.0	she married her business partner steve lane	we know you just can t bring me back in again	1.5714	-0.5714	1.0	0	0	0	0	she married her business partner steve lane	we know you just can t bring me back in again
32	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	41	base	full_noise_amp0.5_dur0.0	that would be funny if he did	the city is located in the southern part of the city of korea	1.8571	-0.8571	1.0	0	1	0	0	that would be funny if he did	the city is located in the southern part of the city of korea
33	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	42	base	full_noise_amp0.5_dur0.0	he was the eldest brother of katharine duchess of kent	the city was also the home of the city s first ever public school	1.2	-0.2	1.0	0	1	0	0	he was the eldest brother of katharine duchess of kent	the city was also the home of the city s first ever public school
34	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	43	base	full_noise_amp0.5_dur0.0	the glow deepened in the eyes of the sweet girl	the city is located in the southern part of the city of korea	0.8	0.2	1.0	0	1	0	0	the glow deepened in the eyes of the sweet girl	the city is located in the southern part of the city of korea
35	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	45	base	full_noise_amp0.5_dur0.0	although she had flowers and applause mavis said she was not content	the city is located in the southern part of the city of korea	1.0833	-0.0833	1.0	0	1	0	0	although she had flowers and applause mavis said she was not content	the city is located in the southern part of the city of korea
36	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	46	base	full_noise_amp0.5_dur0.0	add the column and put the sum here	the city is located in the southern part of the city of korea	1.375	-0.375	1.0	0	1	0	0	add the column and put the sum here	the city is located in the southern part of the city of korea
37	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	47	base	full_noise_amp0.5_dur0.0	hello benjamin	he was injured	1.5	-0.5	1.0	0	0	0	0	hello benjamin	he was injured
38	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	48	base	full_noise_amp0.5_dur0.0	after playing tennis in virtual reality he felt dizzy	the city is located in the southern part of the city of korea	1.3333	-0.3333	1.0	0	1	0	0	after playing tennis in virtual reality he felt dizzy	the city is located in the southern part of the city of korea
39	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	50	base	full_noise_amp0.5_dur0.0	rapidan campaign may june	even in the beginning of the season	1.75	-0.75	1.0	0	0	0	0	rapidan campaign may june	even in the beginning of the season
40	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	51	base	full_noise_amp0.5_dur0.0	alston commented that he felt the cartoonist might have had some racial intent	a constant wind and gusts of wind and gusts of wind are the source of the ocean s heat	1.4615	-0.4615	1.0	0	4	3	2	alston commented that he felt the cartoonist might have had some racial intent	a constant wind and gusts of wind and gusts of wind are the source of the ocean s heat
41	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	52	base	full_noise_amp0.5_dur0.0	this release is currently out of print	the city is located in the southern part of the city of korea	1.5714	-0.5714	1.0	0	1	0	0	this release is currently out of print	the city is located in the southern part of the city of korea
42	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	56	base	full_noise_amp0.5_dur0.0	the two films were then released within one day of each other	the city is located in the southern part of the city of korea	1.0	0.0	1.0	0	1	0	0	the two films were then released within one day of each other	the city is located in the southern part of the city of korea
43	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	57	base	full_noise_amp0.5_dur0.0	what did he say his name was asked the captain	the city is located in the southern part of the city of korea	1.2	-0.2	1.0	0	1	0	0	what did he say his name was asked the captain	the city is located in the southern part of the city of korea
44	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	59	base	full_noise_amp0.5_dur0.0	ok then this doesn t really change anything	the city is located in the southern part of the city of korea	1.625	-0.625	1.0	0	1	0	0	ok then this doesn t really change anything	the city is located in the southern part of the city of korea
45	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	60	base	full_noise_amp0.5_dur0.0	what did it mean	the city is also home to the city of canada and canada canada is the second largest city in the world	5.25	-4.25	1.0	1	1	0	0	what did it mean	the city is also home to the city of canada and canada canada is the second largest city in the world
46	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	61	base	full_noise_amp0.5_dur0.0	at the hospital i met a very nice nurse	the city is located in the southern part of the city of korea	1.3333	-0.3333	1.0	0	1	0	0	at the hospital i met a very nice nurse	the city is located in the southern part of the city of korea
47	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	62	base	full_noise_amp0.5_dur0.0	yes	the city is located in the southern part of the city of korea	13.0	-12.0	0.0	0	1	0	0	yes	the city is located in the southern part of the city of korea
48	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	64	base	full_noise_amp0.5_dur0.0	since their inception harris has been the band s principal composer and lyricist	the city is located in the southern part of the city of korea	1.0	0.0	1.0	0	1	0	0	since their inception harris has been the band s principal composer and lyricist	the city is located in the southern part of the city of korea
49	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	67	base	full_noise_amp0.5_dur0.0	religious festivals include the muslim eids and the christian christmas and easter	the visit has more than three demands from the government and the city of canada	1.1667	-0.1667	1.0	0	0	0	0	religious festivals include the muslim eids and the christian christmas and easter	the visit has more than three demands from the government and the city of canada
50	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	68	base	full_noise_amp0.5_dur0.0	what do you advise sir	but he is a mighty good man	1.4	-0.4	1.0	0	0	0	0	what do you advise sir	but he is a mighty good man
51	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	71	base	full_noise_amp0.5_dur0.0	the cornices of the room were mostly intact but showed signs of damage from damp	the city is located in the southern part of the city of korea	0.8667	0.1333	1.0	0	1	0	0	the cornices of the room were mostly intact but showed signs of damage from damp	the city is located in the southern part of the city of korea
52	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	72	base	full_noise_amp0.5_dur0.0	alexandria and texas were shut down mid season	the city is located in the southern part of the city of korea	1.625	-0.625	1.0	0	1	0	0	alexandria and texas were shut down mid season	the city is located in the southern part of the city of korea
53	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	74	base	full_noise_amp0.5_dur0.0	it is inhibited by the pneumotaxic centre	the city is still in the process of being reestablished	1.1429	-0.1429	1.0	0	0	0	0	it is inhibited by the pneumotaxic centre	the city is still in the process of being reestablished
54	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	75	base	full_noise_amp0.5_dur0.0	her intro later appeared on the david holmes essential collection	the city is home to the city of canada and the city of canada is home to the city of canada	2.0	-1.0	1.0	0	6	5	4	her intro later appeared on the david holmes essential collection	the city is home to the city of canada and the city of canada is home to the city of canada
55	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	76	base	full_noise_amp0.5_dur0.0	an important person in the life of emile claus was the painter jenny montigny	the city is located in the central part of the city center of the city center	0.9286	0.0714	1.0	0	3	2	1	an important person in the life of emile claus was the painter jenny montigny	the city is located in the central part of the city center of the city center
56	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	81	base	full_noise_amp0.5_dur0.0	it was won by a woman from vara sweden	the building was built in the late 19th century and has since been renovated	1.4444	-0.4444	1.0	0	0	0	0	it was won by a woman from vara sweden	the building was built in the late 19th century and has since been renovated
57	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	84	base	full_noise_amp0.5_dur0.0	maybe he just put it there for safe keeping	the city is located in the southern part of the city of korea	1.4444	-0.4444	1.0	0	1	0	0	maybe he just put it there for safe keeping	the city is located in the southern part of the city of korea
58	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	86	base	full_noise_amp0.5_dur0.0	the land was ruined and i had to find some other way to earn a living	the city is located in the central part of the city center of the city center	0.9375	0.0625	1.0	0	3	2	1	the land was ruined and i had to find some other way to earn a living	the city is located in the central part of the city center of the city center
59	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	87	base	full_noise_amp0.5_dur0.0	i pointed out mars a bright dot of light	the city is located in the southern part of the city of korea	1.3333	-0.3333	1.0	0	1	0	0	i pointed out mars a bright dot of light	the city is located in the southern part of the city of korea
60	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	88	base	full_noise_amp0.5_dur0.0	i wondered if those birds were redwings	the city is also home to the city of canada and canada canada is the second largest city in the world	3.0	-2.0	1.0	1	1	0	0	i wondered if those birds were redwings	the city is also home to the city of canada and canada canada is the second largest city in the world
61	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	90	base	full_noise_amp0.5_dur0.0	he had completed his graduation in lahore university	the best thing is that you can do anything and everywhere you want to do	1.875	-0.875	1.0	0	0	0	0	he had completed his graduation in lahore university	the best thing is that you can do anything and everywhere you want to do
62	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	91	base	full_noise_amp0.5_dur0.0	he ended up running to the bars which fortified the windows of the first floor	the city is located in the southern part of the city of korea	0.8	0.2	1.0	0	1	0	0	he ended up running to the bars which fortified the windows of the first floor	the city is located in the southern part of the city of korea
63	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	92	base	full_noise_amp0.5_dur0.0	i know why i want to get back to my flock he thought	the main line of the system is the current and future of the system	1.0769	-0.0769	1.0	0	2	1	0	i know why i want to get back to my flock he thought	the main line of the system is the current and future of the system
64	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	93	base	full_noise_amp0.5_dur0.0	she is married to the rapper and playwright baba brinkman	the city is located in the central part of the city center and is located in the central part of the city center	2.0	-1.0	1.0	0	9	8	7	she is married to the rapper and playwright baba brinkman	the city is located in the central part of the city center and is located in the central part of the city center
65	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	98	base	full_noise_amp0.5_dur0.0	lord kingsdown funded the kingsdown church	the city is located in the southern part of the city of korea	2.0	-1.0	1.0	0	1	0	0	lord kingsdown funded the kingsdown church	the city is located in the southern part of the city of korea
66	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	99	base	full_noise_amp0.5_dur0.0	that s not carson sphinx	their first public visit was in japan	1.4	-0.4	1.0	0	0	0	0	that s not carson sphinx	their first public visit was in japan
67	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	100	base	full_noise_amp0.5_dur0.0	what will they think	the city is located in the southern part of the city of korea	3.25	-2.25	1.0	1	1	0	0	what will they think	the city is located in the southern part of the city of korea
68	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	101	base	full_noise_amp0.5_dur0.0	lorenz is listed as a swiss heritage site of national significance	the city is also home to the city of canada	0.9091	0.0909	1.0	0	1	0	0	lorenz is listed as a swiss heritage site of national significance	the city is also home to the city of canada
69	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	102	base	full_noise_amp0.5_dur0.0	i have never in life hit a tennis ball	the city is located in the southern part of the city of korea	1.3333	-0.3333	1.0	0	1	0	0	i have never in life hit a tennis ball	the city is located in the southern part of the city of korea
70	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	103	base	full_noise_amp0.5_dur0.0	he is the first known and undisputed member of the gediminids	the city is also home to the city of canada and canada canada is the largest city in the world	1.4545	-0.4545	1.0	0	1	0	0	he is the first known and undisputed member of the gediminids	the city is also home to the city of canada and canada canada is the largest city in the world
71	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	104	base	full_noise_amp0.5_dur0.0	before entering politics karygiannis was a businessman and industrial engineer	the city is also home to the city of canada	1.0	0.0	1.0	0	1	0	0	before entering politics karygiannis was a businessman and industrial engineer	the city is also home to the city of canada
72	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	105	base	full_noise_amp0.5_dur0.0	lion rock is located north west of wong tai sin	the city is located in the central part of the city center of the city center	1.3	-0.3	1.0	0	3	2	1	lion rock is located north west of wong tai sin	the city is located in the central part of the city center of the city center
73	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	107	base	full_noise_amp0.5_dur0.0	at dusk the greek western flank was broken	i am very happy to be here and to be able to talk to you	1.875	-0.875	1.0	0	1	0	0	at dusk the greek western flank was broken	i am very happy to be here and to be able to talk to you
74	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	108	base	full_noise_amp0.5_dur0.0	it is endemic to western tropical africa	the city is also home to the city of canada	1.1429	-0.1429	1.0	0	1	0	0	it is endemic to western tropical africa	the city is also home to the city of canada
75	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	109	base	full_noise_amp0.5_dur0.0	one island platform and two side platforms serving four tracks	the city is located in the southern part of the city of korea	1.3	-0.3	1.0	0	1	0	0	one island platform and two side platforms serving four tracks	the city is located in the southern part of the city of korea
76	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	111	base	full_noise_amp0.5_dur0.0	we should not take for granted how fortunate we have been	the city is located in the southern part of the city of korea	1.1818	-0.1818	1.0	0	1	0	0	we should not take for granted how fortunate we have been	the city is located in the southern part of the city of korea
77	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	112	base	full_noise_amp0.5_dur0.0	topical and up to the minute e	the city is located in the central part of the city center	1.5714	-0.5714	1.0	0	1	0	0	topical and up to the minute e	the city is located in the central part of the city center
78	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	113	base	full_noise_amp0.5_dur0.0	the farmer works the soil and produces grain	the city is located in the southern part of the city of korea	1.375	-0.375	1.0	0	1	0	0	the farmer works the soil and produces grain	the city is located in the southern part of the city of korea
79	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	114	base	full_noise_amp0.5_dur0.0	they found one such edge in fairbairn s system	the city is located in the southern part of the city of korea	1.4444	-0.4444	1.0	0	1	0	0	they found one such edge in fairbairn s system	the city is located in the southern part of the city of korea
80	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_base_full_noise_amp0.5_dur0.0.tsv	116	base	full_noise_amp0.5_dur0.0	the wind told me that you know about love the boy said to the sun	the city is located in the central part of the city center and is located in the central part of the city center	1.3333	-0.3333	1.0	0	9	8	7	the wind told me that you know about love the boy said to the sun	the city is located in the central part of the city center and is located in the central part of the city center
