ref_sentence	hypo_sentence	probability_ref	probability_hypo	scaled_probability_hypo	cosine_similarity
to the surprise of all and especially of lieutenant procope the line indicated a bottom at a nearly uniform depth of from four to five fathoms and although the sounding was persevered with continuously for more than two hours over a considerable area the differences of level were insignificant not corresponding in any degree to what would be expected over the site of a city that had been terraced like the seats of an amphitheater	dormice are bad neighbors for us who do not eat them preserved as the romans did what did the romans eat them said the gardener ate dormice	0.65	0.25	0.3846153846153846	0.12936731134788937
you are now in the only country in the world where wit can make a fortune by selling either a genuine or a false article in the first case it receives the welcome of intelligent and talented people and in the second fools are always ready to reward it for silliness is truly a characteristic of the people here and however wonderful it may appear silliness is the daughter of wit	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.3	0.6	1.0	0.17524383558249115
so persuasive were her entreaties and so strong her assurances that no harm whatever could result to them from the information she sought they were induced to confess that one summer's night the same she had mentioned themselves and another friend being out on a stroll with rodolfo they had been concerned in the abduction of a girl whom rodolfo carried off whilst the rest of them detained her family who made a great outcry and would have defended her if they could	the daughter to be devoured by wild beasts and the mother to be burnt alive no sooner however was she reduced to ashes than the charm which held the queen's brother in the form of a stag was broken	0.25	0.25	1.0	0.3634836164538729
well as i say it's an awful queer world they clap all the burglars into jail and the murderers and the wife beaters i've allers thought a gentle reproof would be enough punishment for a wife beater cause he probably has a lot o provocation that nobody knows and the firebugs can't think o the right name something like cendenaries an the breakers o the peace an what not an yet the law has nothin to say to a man like hen lord	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.35	0.75	1.0	0.18284709748444583
this severity by which montrose sullied his victories was the result of private animosity against the chieftain as much as of zeal for the public cause argyle collecting three thousand men marched in quest of the enemy who had retired with their plunder and he lay at innerlochy supposing himself still at a considerable distance from them	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.65	0.55	0.8461538461538461	0.09460606924564109
my eyes fill with tears when i contrast the bliss of such a state brightened by hopes of the future with the melancholy state i now live in uncertain that i ever felt true contrition wandering in thought and deed longing for holiness which i shall never never obtain smitten at times to the heart with the conviction that ghastly calvinistic doctrines are true darkened in short by the very shadows of spiritual death	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.65	0.65	1.0	0.3112497431148367
he must descend with his heart full of charity and severity at the same time as a brother and as a judge to those impenetrable casemates where crawl pell mell those who bleed and those who deal the blow those who weep and those who curse those who fast and those who devour those who endure evil and those who inflict it	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.75	0.65	0.8666666666666667	0.2560648631821332
valor indeed was very generally diffused over the one party as well as the other during this period discipline also was attained by the forces of the parliament but the perfection of the military art in concerting the general plans of action and the operations of the field seems still on both sides to have been in a great measure wanting	hannah felt in her bones that it was going to be an unusually fine day and she proved herself a true prophetess for everybody and everything seemed bound to produce a grand success to begin with mister march wrote that he should soon be with them	0.65	0.45	0.6923076923076923	0.22833634833350575
he passes abruptly from persons to ideas and numbers and from ideas and numbers to persons from the heavens to man from astronomy to physiology he confuses or rather does not distinguish subject and object first and final causes and is dreaming of geometrical figures lost in a flux of sense	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.65	0.15	0.23076923076923075	0.2881069087940559
in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rodolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.15	0.7	1.0	0.4107842498620795
dreading the superior power of argyle who having joined his vassals to a force levied by the public was approaching with a considerable army montrose hastened northwards in order to rouse again the marquis of huntley and the gordons who having before hastily taken arms had been instantly suppressed by the covenanters	dreading the superior power of argyle who having joined his vassals to a force levied by the public was approaching with a considerable army montres hastened northward in order to rouse again the marquis of huntley and the gordons who having before hastyly taken arms had been instantly suppressed by the covenanters	0.65	0.45	0.6923076923076923	0.9918290116588573
ben zoof's most ambitious desire was to induce the captain to go with him and end his days in his much loved home and so incessantly were servadac's ears besieged with descriptions of the unparalleled beauties and advantages of this eighteenth arrondissement of paris that he could scarcely hear the name of montmartre without a conscious thrill of aversion	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.45	0.55	1.0	0.09958904152678813
american school boys read with emotions of horror of the albigenses driven beaten and killed with a papal legate directing the butchery and of the vaudois hunted and hounded like beasts as the effect of a royal decree and they yet shall read in the history of their own country of scenes as terrible as these in the exhibition of injustice and inhuman hate	and innately so evidently for the girl was slightly deformed hardly a hunchback but weak and unattractive looking with melancholy eyes and a pale pinched face it was the thought of that little act of simple chivalry witnessed the day before	0.2	0.3	1.0	0.34067171801708807
then now let me explain to you the order of our entertainment first timaeus who is a natural philosopher will speak of the origin of the world going down to the creation of man and then i shall receive the men whom he has created and some of whom will have been educated by you and introduce them to you as the lost athenian citizens of whom the egyptian record spoke	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.65	0.25	0.3846153846153846	0.2632464539199943
there was infinite scepticism around him on the subject and while other inventors were also giving the subject their thought the public took it for granted that anything so utterly intangible as electricity that could not be seen or weighed and only gave secondary evidence of itself at the exact point of use could not be brought to accurate registration	well it was really hard that poor epimetheus should have a box in his ears from morning till night especially as the little people of the earth were so unaccustomed to vexations	0.75	0.65	0.8666666666666667	0.24410678355005358
a good neighbour of the brontes a clever intelligent yorkshire woman who keeps a druggist's shop in haworth and from her occupation her experience and excellent sense holds the position of village doctress and nurse and as such has been a friend in many a time of trial and sickness and death in the households round told me a characteristic little incident connected with tabby's fractured leg	the daughter to be devoured by wild beasts and the mother to be burnt alive no sooner however was she reduced to ashes than the charm which held the queen's brother in the form of a stag was broken	0.65	0.3	0.4615384615384615	0.2720213778160952
in this connection it should be mentioned that the association of edison illuminating companies in the same year adopted resolutions unanimously to the effect that the edison meter was accurate and that its use was not expensive for stations above one thousand lights and that the best financial results were invariably secured in a station selling current by meter	in this connection it should be mentioned that the association of edison illuminating companies in the same year adopted resolutions unanimously to the effect that the edison meter was accurate and that its use was not expensive for stations above one thousand lights and that the best financial results were in variably secured	0.75	0.75	1.0	0.969314267327678
a pretty girl and so far as i could judge by appearances a good girl too describing her generally i may say that she had a small head well carried and well set on her shoulders bright gray eyes that looked at you honestly and meant what they looked a trim slight little figure too slight for our english notions of beauty a strong american accent and a rare thing in america a pleasantly toned voice which made the accent agreeable to english ears	well it was really hard that poor epimetheus should have a box in his ears from morning till night especially as the little people of the earth were so unaccustomed to vexations	0.6	0.3	0.5	0.19501065577051138
o tis the first tis flattery in my seeing and my great mind most kingly drinks it up mine eye well knows what with his gust is greeing and to his palate doth prepare the cup if it be poison'd tis the lesser sin that mine eye loves it and doth first begin	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.15	0.15	1.0	0.3038785271257405
a reconciliation between the two conflicting requirements is effected by a resort to make believe many and intricate polite observances and social duties of a ceremonial nature are developed many organizations are founded with some specious object of amelioration embodied in their official style and title there is much coming and going and a deal of talk to the end that the talkers may not have occasion to reflect on what is the effectual economic value of their traffic	a reconciliation between the two conflicting requirements is affected by resort to make belief men in in in in in intricate polite observances and social duties of a ceremonial nature are developed many organizations have founded with some specious object of emulation and budded in their official style and title there is much coming and a deal of talk to the end that the talk is made not have occasion to the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect on what is the effect	0.25	0.1	0.4	0.8217578555610767
hester prynne went one day to the mansion of governor bellingham with a pair of gloves which she had fringed and embroidered to his order and which were to be worn on some great occasion of state for though the chances of a popular election had caused this former ruler to descend a step or two from the highest rank he still held an honourable and influential place among the colonial magistracy	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.95	0.75	0.7894736842105263	0.3082885836393471
while the former foretold that the scottish covenanters were secretly forming a union with the english parliament and inculcated the necessity of preventing them by some vigorous undertaking the latter still insisted that every such attempt would precipitate them into measures to which otherwise they were not perhaps inclined	well it was really hard that poor epimetheus should have a box in his ears from morning till night especially as the little people of the earth were so unaccustomed to vexations	0.65	0.3	0.4615384615384615	0.19497364098355138
of course the words this has existed before are a very inadequate translation of what actually happens when we form a judgment of recognition but that is unavoidable words are framed to express a level of thought which is by no means primitive and are quite incapable of expressing such an elementary occurrence as recognition	of course the words this has existed before are a very inadequate translation of what actually happens when we form a judgment of recognition but that is unavoidable words are framed to express a level of thought which is by no means primitive and are quite incapable of expressing such an elementary occurrence	0.65	0.65	1.0	0.984442587770849
without going to any such extreme as this we can easily see on reflection how vast an influence on the ideas and conceptions as well as on the principles of action in mature years must be exerted by the nature and character of the images which the period of infancy and childhood impresses upon the mind	and innately so evidently for the girl was slightly deformed hardly a hunchback but weak and unattractive looking with melancholy eyes and a pale pinched face it was the thought of that little act of simple chivalry witnessed the day before	0.7	0.3	0.4285714285714286	0.2742324771068119
the vanderpools were sure of this and the englishman instancing india became quite eloquent missus grey was mystified but hardly dared admit it the general trend of the conversation seemed to be that most individuals needed to be submitted to the sharpest scrutiny before being allowed much education and as for the lower races it was simply criminal to open such useless opportunities to them	the van der pools were sure this and the englishman instance in india became quite eloquent missus grey was mystified but hardly dared admit it the general trend of the conversation seemed to be that most individuals needed to be submitted to the sharpest scrutiny before being allowed much education and as for the lower races it was simply criminal to open such useless opportunities to them	0.2	0.2	1.0	0.9611676352788274
she was honourably buried in the church of saint sauveur without the slightest opposition from the venerable priest who far from sharing the anti christain intolerancy of the clergy in general said that her profession as an actress had not hindered her from being a good christian and that the earth was the common mother of all human beings as jesus christ had been the saviour of all mankind	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.65	0.6	0.923076923076923	0.33179553106712695
silvia did not think that her good conduct was a merit for she knew that she was virtuous only because her self love compelled her to be so and she never exhibited any pride or assumed any superiority towards her theatrical sisters although satisfied to shine by their talent or their beauty they cared little about rendering themselves conspicuous by their virtue	and innately so evidently for the girl was slightly deformed hardly a hunchback but weak and unattractive looking with melancholy eyes and a pale pinched face it was the thought of that little act of simple chivalry witnessed the day before	0.75	0.45	0.6	0.39366759554419606
the colorist says first of all as my delicious paroquet was ruby so this nasty viper shall be black and then is the question can i round him off even though he is black and make him slimy and yet springy and close down clotted like a pool of black blood on the earth all the same	the colorist says first of all as my delicious parapet was ruby so this nasty viper shall be black and then is the question can i round him off even though he is black and make him slimy and yet springy and close down	0.2	0.15	0.7499999999999999	0.9471872267867137
thought kills me that i am not thought to leap large lengths of miles when thou art gone but that so much of earth and water wrought i must attend time's leisure with my moan receiving nought by elements so slow but heavy tears badges of either's woe	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.3	0.25	0.8333333333333334	0.3123429991028986
they asserted with confidence and almost with exultation that the apostolical succession was interrupted that all the bishops of europe and asia were infected by the contagion of guilt and schism and that the prerogatives of the catholic church were confined to the chosen portion of the african believers who alone had preserved inviolate the integrity of their faith and discipline	they asserted with confidence and almost with exultation that the apostolical succession was interrupted that all the bishops of europe and asia were infected by the contagion of guilt and schism and that the prerogatives of the catholic church were confined to the chosen portion of the african believers who alone had preserved in violet the integrity of their faith and discipline of their faith and discipline of their faith and discipline of their faith and discipline	0.15	0.25	1.0	0.98839385202874
from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france	and innately so evidently for the girl was slightly deformed hardly a hunchback but weak and unattractive looking with melancholy eyes and a pale pinched face it was the thought of that little act of simple chivalry witnessed the day before	0.65	0.25	0.3846153846153846	0.32431645727005226
thus saying and pressing the crucifix to her breast she fell fainting into the arms of dona estafania who as a gentlewoman to whose sex pity is as natural as cruelty is to man instantly pressed her lips to those of the fainting girl shedding over her so many tears that there needed no other sprinkling of water to recover leocadia from her swoon	well it was really hard that poor epimetheus should have a box in his ears from morning till night especially as the little people of the earth were so unaccustomed to vexations	0.65	0.65	1.0	0.20342488709922463
now you will see in these studies that the moment the white is inclosed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly	now you will see in these studies at the moment the white is enclosed properly and harmonize with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreeded white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly if they are gradated justly	0.65	0.25	0.3846153846153846	0.9783034076183619
a quarter of an hour afterwards he returned to the theater but it will be readily believed that it was only a powerful effort of reason over his great excitement that enabled him to go back or perhaps for love is thus strangely constituted he found it impossible even to remain much longer separated from the presence of one who had broken his heart	a quarter of an hour afterwards he returned to the theater but it will be readily believed that it was only a powerful effort of reason over his great excitement that enabled him to go back or perhaps for love is thus strangely constituted he found it impossible even to remain much longer separated from the presence of one who had broken his heart	0.45	0.35	0.7777777777777777	0.9999999999999998
it is a very fine old place of red brick softened by a pale powdery lichen which has dispersed itself with happy irregularity so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables the windows and the door place	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.75	0.65	0.8666666666666667	0.2960006642617313
we may be stopped the fact may be put to us in general terms which is one way of attenuating it we may be told that all trades professions it may be added all the accidents of the social hierarchy and all forms of intelligence have their own slang	we may be stopped the fact may be put to us in general terms which is one way of attenduating it we may be told that all trades professions it may be added all the accidents of the social hierarchy and all forms of intelligence have their own slang	0.45	0.35	0.7777777777777777	0.9789304012842376
we are of course in fact able to judge when we recognize an object that we have seen it before but this judgment is something over and above recognition in this first sense and may very probably be impossible to animals that nevertheless have the experience of recognition in this first sense of the word	we are of course in fact able to judge when we recognize an object that we have seen it before but this judgment is something over and above recognition in this first sense and may very probably be impossible to animals that nevertheless have the experience of recognition in this first sense of the word	0.75	0.65	0.8666666666666667	0.9999999999999999
among other persons of distinction who united themselves to him was lord napier of merchiston son of the famous inventor of the logarithms the person to whom the title of a great man is more justly due than to any other whom his country ever produced	among other persons of distinction who united themselves to him was lord napier of martistan son of the famous inventor of the logrians a person to whom the title of a great man is more justly due than to any other whom his country ever produced	0.75	0.3	0.39999999999999997	0.8931397494569171
the english it is evident had they not been previously assured of receiving the king would never have parted with so considerable a sum and while they weakened themselves by the same measure have strengthened a people with whom they must afterwards have so material an interest to discuss	the english it is evident had they not been previously assured of receiving the king would never have parted with so considerable a sum and while they weakened themselves by the same measure have strength and the people with whom they must afterwards have so material an interest to discuss	0.25	0.25	1.0	0.991035271942307
just then leocadia came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remained in utter bewilderment until his wife had repeated to him from beginning to end leocadia's whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.25	0.65	1.0	0.4116850404996333
then the church was disincorporated and its property both real and personal confiscated and escheated to the government of the united states and although the personal property was soon restored real estate of great value long lay in the hands of the court's receiver and the mormon church had to pay the national government high rental on its own property	hannah felt in her bones that it was going to be an unusually fine day and she proved herself a true prophetess for everybody and everything seemed bound to produce a grand success to begin with mister march wrote that he should soon be with them	0.75	0.65	0.8666666666666667	0.2500709437511223
sometimes he thought he would like to stand in a conspicuous pulpit and humbly preach the gospel of repentance and it even crossed his mind that it would be noble to give himself to a missionary life to some benighted region where the date palm grows and the nightingale's voice is in tune and the bul bul sings on the off nights	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.75	0.65	0.8666666666666667	0.19862086353553537
this meant that for an alleged misdemeanor for which congress prescribed a maximum penalty of six months imprisonment and a fine of three hundred dollars a man might be imprisoned for life aye for many terms of a man's natural life did the court's power to enforce its sentences extend so far and might be fined millions of dollars	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.2	0.65	1.0	0.1360661258358003
we might provisionally though perhaps not quite correctly define memory as that way of knowing about the past which has no analogue in our knowledge of the future such a definition would at least serve to mark the problem with which we are concerned though some expectations may deserve to rank with memory as regards immediacy	we might provisionally though perhaps not quite correctly define memory as that way of knowing about the past which has no analogue in our knowledge of the future such a definition would at least serve to mark the problem with which we are concerned those some expectations may deserve to rank with memory as regards immediate sea	0.65	0.35	0.5384615384615384	0.982848322568563
independent of her fortune she has beauty to captivate the heart of any man and with all her follies she has a frankness in her manner an unaffected wisdom in her thoughts a vivacity in her conversation and withal a softness in her demeanour that might alone engage the affections of a man of the nicest sentiments and the strongest understanding	in the pennon of her fortune she has beauty to captivate the heart of any man and with all her follies she has a frankness in her manner an unaffected wisdom in her thoughts of aversity in her conversation and withal a softness in her demeanor that might alone engage the affections of a man of the nicest sentiments and the strongest understanding	0.75	0.75	1.0	0.9023898665389485
and wylder laughed too more suddenly and noisily than the humour of the joke seemed quite to call for and glanced a grim look from the corners of his eyes on lake but the gallant captain did not seem to perceive it and after a few seconds more he handed it very innocently back to missus dorothy only remarking	and the blue eye of frances met the brilliant black one of her guest for a single moment and both fell in abashed confusion on the carpet they advanced however until they met and had taken each other's hand before either ventured again to look her companion in the face	0.45	0.65	1.0	0.3890296235336643
another case said john wesley was a little girl half grown who was washing windows up stairs one day and unluckily fell asleep in the window and in this position was found by her mistress in a rage the mistress hit her a heavy slap knocked her out of the window and she fell to the pavement and died in a few hours from the effects thereof	another case said john wesley was a little girl half grown who was washing windows up stairs one day and unluckily fell asleep in the window and in this position was found by her mistress in a rage that mistress hid her a heavy slap knocked her out of the window and she fell to the pavement and died in a few hours from the effects thereof	0.05	0.1	1.0	0.9969316252572419
madam corrected me with a patronizing air for my pronunciation of the word scevra which means divided saying that it ought to be pronounced sceura and she added that i ought to be very glad to have learned so much on the first day of my arrival in paris telling me that it would be an important day in my life	madame corrected me with a patronizing air for by a pronunciation of the word skevra which means divided saying that it ought to be pronounced skeera and she added that i ought to be very glad to have learned so much on the first day of my arrival in paris telling me that it would be an important day in my life	0.45	0.65	1.0	0.9255787946707763
that was the chrism of love which love's own crown with sanctifying sweetness did precede the third upon my lips was folded down in perfect purple state since when indeed i have been proud and said my love my own	that was the prism of love which love's own crown with sank to fine sweetness did proceed the third upon my lips was folded down in perfect purple state since when indeed i have been proud and said my love	0.25	0.15	0.6	0.8483488418104035
it is to tenfold life to love to peace and raptures holy unseen descending weigh my light wings upon balmy flowers and court the fair eyed dew to take me to her shining tent the weeping virgin trembling kneels before the risen sun	it is too ten full of life to love to peace and raptures wholly unseen descending weigh my light wings upon balmy flowers and court the fair i do to take me to her shining tent the weeping virgin trembling meals before the risen sun	0.2	0.1	0.5	0.9065334905076337
beholding it hester was constrained to rush towards the child to pursue the little elf in the flight which she invariably began to snatch her to her bosom with a close pressure and earnest kisses not so much from overflowing love as to assure herself that pearl was flesh and blood and not utterly delusive	beholding it hester was constrained to rush towards the child to pursue the little elf in the flight which she invariably began to snatch her to her bosom with a close pressure and earnest kisses not so much from overflowing love as to assure herself that pearl was flesh and blood and not utterly delusive	0.25	0.7	1.0	0.9999995209435832
five hundred men more who had been levied by the covenanters were persuaded to embrace the royal cause and with this combined force he hastened to attack lord elcho who lay at perth with an army of six thousand men assembled upon the first news of the irish invasion	five hundred men more who had been levied by the covenanters were persuaded to embrace the royal cause and with this combined force he hastened to attack lord elco who lay at perth with an army of six thousand men assembled upon the first news of the irish invasion	0.6	0.45	0.75	0.9779985807969752
from the under surface of the clouds there are continual emissions of lurid light electric matter is in continual evolution from their component molecules the gaseous elements of the air need to be slaked with moisture for innumerable columns of water rush upwards into the air and fall back again in white foam	from the under surface of the clouds there are continual emissions of lurid light electric matter is in continual evolution from their component molecules the gashes elements of the air need to be slight with moisture for innumerable columns of water rush upwards into the air and fall back again in white foam	0.25	0.25	1.0	0.987368961396145
even the supporting cast is shrewdly drawn professor aronnax the career scientist caught in an ethical conflict conseil the compulsive classifier who supplies humorous tag lines for verne's fast facts the harpooner ned land a creature of constant appetites man as heroic animal	and this verity the epistle further confirmed with rows of full stops to the extent of nearly half a page next there followed a few reflections of a correctitude so remarkable that i have no choice but to quote them what	0.45	0.2	0.4444444444444445	0.2603459012746063
after an apprenticeship on a merchant ship he had entered the imperial navy and had already reached the rank of lieutenant when the count appointed him to the charge of his own private yacht in which he was accustomed to spend by far the greater part of his time throughout the winter generally cruising in the mediterranean whilst in the summer he visited more northern waters	after an apprenticeship on a merchant ship he had entered the imperial navy and had already reached the rank of lieutenant when the count appointed him to the charge of his own private yacht in which he was accustomed to spend by far the greater part of his time throughout the winter generally cruising in the mediterranean whilst in the summer he visited more northern waters	0.65	0.75	1.0	0.9999999999999993
with these and some reenforcements of the atholemen and macdonalds whom he had recalled montrose fell suddenly upon argyle's country and let loose upon it all the rage of war carrying off the cattle burning the houses and putting the inhabitants to the sword	all humanity does agree that we are in a net of sin most of humanity agrees that there is some way out but as to what is the way out i do not think that there are two institutions in the universe which contradict each other so flatly as buddhism and christianity	0.75	0.45	0.6	0.065826458042999
exquisite order and universal with eternal life and light this is the faith and effort of the schools of crystal and you may describe and complete their work quite literally by taking any verses of chaucer in his tender mood and observing how he insists on the clearness and brightness first and then on the order	and innately so evidently for the girl was slightly deformed hardly a hunchback but weak and unattractive looking with melancholy eyes and a pale pinched face it was the thought of that little act of simple chivalry witnessed the day before	0.25	0.25	1.0	0.25315201247290453
with heracleitus he acknowledges the perpetual flux like anaxagoras he asserts the predominance of mind although admitting an element of necessity which reason is incapable of subduing like the pythagoreans he supposes the mystery of the world to be contained in number	with her atlantis he acknowledges the perpetual flux like an axagoras he asserts the predominance of mine although admitting an element of necessity which reason is incapable of subduing like the pythagoreans he supposes the mystery of the world to be contained in number	0.75	0.25	0.3333333333333333	0.8691435337355927
the mystery of their origin their capacity for evolving latent faculties of crime and the steady vitality with which they survive the hearse and speak their deep mouthed malignities in every new born generation have associated them somehow in my mind with a spell of life exceeding and distinct from human and a special satanic action	the mystery of their origin their capacity for evolving latent faculties of crime and the study by tallity with which they survived the hearse and speak their deep mouthed melodies in every new born generation have associated them somehow in my mind with a spell of life exceeding and distinct from human and the special satanic action	0.2	0.25	1.0	0.9355464737803781
